ID,A_name_in_paper,A_category,relationship,B_name_in_paper,B_ensembl,B_category,mechanism,key_molecular ,key_molecular_category,detail mechanism,method,species,detial,pmid,article_title
LncReg_521,linc1435,lncRNA,up,nanog,ENSG00000111704.9,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_522,linc1242,lncRNA,up,nanog,ENSG00000111704.9,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_523,linc1283,lncRNA,up,nanog,ENSG00000111704.9,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_524,linc1454,lncRNA,up,nanog,ENSG00000111704.9,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_525,linc1473,lncRNA,up,nanog,ENSG00000111704.9,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_526,linc1448,lncRNA,up,nanog,ENSG00000111704.9,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_527,linc1552,lncRNA,up,nanog,ENSG00000111704.9,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_528,linc1577,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_529,linc1487,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_53,LincRNA-ROR,lncRNA,up,Vimentin,ENSG00000026025.12,protein coding,transcriptional regulation,miR-205;ZEB1/ZEB2,miRNA;TF,"Mechanistically, our data revealed that linc-ROR was associated with miRNPs and functioned as a competing endogenous RNA to mi-205.Specifically, linc-ROR prevented the degradation of mir-205 target genes, including the EMT inducer ZEB2.The transcription factors ZEB1 and ZEB2 are able to initiate an EMT program through downregulation of E-cadherin transcription by repressing promoter activity.",qPCR;western blot;IF,Homo sapiens,Ectopic expression of linc-ROR in MCF14A cells induced an EMT program.,24922071,LincRNA-ROR induces epithelial-to-mesenchymal transition and contributes to breast cancer tumorigenesis and metastasis
LncReg_530,linc1343,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_531,linc1434,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_532,linc1634,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_533,linc1368,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_534,linc1349,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_535,linc1582,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_536,linc1490,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_537,linc1547,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_538,linc1572,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_539,linc1610,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_54,LincRNA-ROR,lncRNA,up,N-cadherin,ENSG00000170558.7,protein coding,transcriptional regulation,miR-205;ZEB1/ZEB2,miRNA;TF,"Mechanistically, our data revealed that linc-ROR was associated with miRNPs and functioned as a competing endogenous RNA to mi-205.Specifically, linc-ROR prevented the degradation of mir-205 target genes, including the EMT inducer ZEB2.The transcription factors ZEB1 and ZEB2 are able to initiate an EMT program through downregulation of E-cadherin transcription by repressing promoter activity.",qPCR;western blot;IF,Homo sapiens,Ectopic expression of linc-ROR in MCF15A cells induced an EMT program.,24922071,LincRNA-ROR induces epithelial-to-mesenchymal transition and contributes to breast cancer tumorigenesis and metastasis
LncReg_540,linc1411,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_541,linc1609,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_542,linc1385,lncRNA,up,sox2,ENSG00000181449.3,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_543,linc1577,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_544,linc1487,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_545,linc1343,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_546,linc1434,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_547,linc1634,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_548,linc1368,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_549,linc1349,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_55,LincRNA-ROR,lncRNA,up,Zeb1,ENSG00000148516.20,protein coding,translational regulation,miR-205,miRNA,"Specifically, linc-ROR prevented the degradation of mir-205 target genes, including the EMT inducer ZEB2.",qPCR;western blot,Homo sapiens,Ectopic expression of linc-ROR in MCF16A cells induced an EMT program.,24922071,LincRNA-ROR induces epithelial-to-mesenchymal transition and contributes to breast cancer tumorigenesis and metastasis
LncReg_550,linc1582,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_551,linc1490,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_552,linc1547,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_553,linc1572,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_554,linc1610,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_555,linc1411,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_556,linc1609,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_557,linc1385,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_558,linc1399,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_559,linc1435,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_56,LincRNA-ROR,lncRNA,up,Zeb2,ENSG00000169554.15,protein coding,translational regulation,miR-205,miRNA,"Specifically, linc-ROR prevented the degradation of mir-205 target genes, including the EMT inducer ZEB2.",qPCR;western blot,Homo sapiens,Ectopic expression of linc-ROR in MCF17A cells induced an EMT program.,24922071,LincRNA-ROR induces epithelial-to-mesenchymal transition and contributes to breast cancer tumorigenesis and metastasis
LncReg_560,linc1242,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_561,linc1283,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_562,linc1379,lncRNA,up,klf4,ENSG00000136826.13,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_563,linc1577,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_564,linc1487,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_565,linc1434,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_566,linc1634,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_567,linc1368,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_568,linc1349,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_569,linc1582,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_570,linc1490,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_571,linc1547,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_572,linc1610,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_573,linc1609,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_574,linc1385,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_575,linc1405,lncRNA,up,zfp42,ENSG00000179059.8,protein coding,transcriptional regulation,,,,qPCR,Mus musculus ,lincRNA knockdowns affect mRNA expression of pluripotency markers.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_576,linc1242,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_577,linc1456,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_578,linc1400,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_579,linc1304,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_58,H19,lncRNA,down,E-cadherin,ENSG00000039068.17,protein coding,transcriptional regulation,let-7;Hmga2,miRNA;TF,H19 inhibited let-7 function and affected its target HMGA-2 which mediated EMT.,western blot,Homo sapiens,H19 inhibited let-7 function and affected its target HMGA-2 which mediated EMT.,24920070,H19 promotes pancreatic cancer metastasis by derepressing let-7's suppression on its target HMGA2-mediated EMT
LncReg_580,linc1517,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_581,linc1633,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_582,linc1623,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_583,linc1617,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_584,linc1490,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_585,linc1588,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_586,linc1627,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_587,linc1356,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_588,linc1390,lncRNA,down,sox17,ENSG00000164736.5,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_589,linc1434,lncRNA,down,Brachyury,ENSG00000164458.8,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_59,H19,lncRNA,up,vimentin,ENSG00000026025.12,protein coding,transcriptional regulation,let-7;Hmga2,miRNA;TF,H19 inhibited let-7 function and affected its target HMGA-2 which mediated EMT.,western blot,Homo sapiens,H19 inhibited let-7 function and affected its target HMGA-2 which mediated EMT.,24920070,H19 promotes pancreatic cancer metastasis by derepressing let-7's suppression on its target HMGA2-mediated EMT
LncReg_590,linc1526,lncRNA,down,Brachyury,ENSG00000164458.8,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_591,linc1390,lncRNA,down,Brachyury,ENSG00000164458.8,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_592,linc1552,lncRNA,down,Brachyury,ENSG00000164458.8,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_593,linc1388,lncRNA,down,Brachyury,ENSG00000164458.8,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_594,linc1262,lncRNA,down,Brachyury,ENSG00000164458.8,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_595,linc1230,lncRNA,down,sox1,ENSG00000182968.4,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_596,linc1463,lncRNA,down,sox1,ENSG00000182968.4,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_597,linc1230,lncRNA,down,Fgf5,ENSG00000138675.15,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_598,linc1562,lncRNA,down,Fgf5,ENSG00000138675.15,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_599,linc1602,lncRNA,down,Fgf5,ENSG00000138675.15,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_6,lincRNA-p21,lncRNA,down,ATF2,ENSG00000115966.15,protein coding,transcriptional regulation,hnRNPK,RNA binding protein,,microarray;ChIP-promoter-qPCR,Mus musculus ,The observed transcriptional repression by lincRNA-p21 is mediated through the physical association with hnRNP-K. This interaction is required for proper genomic localization of hnRNPK at repressed genes and regulation of p53 mediates apoptosis.,20673990,A large intergenic noncoding RNA induced by p53 mediates global gene repression in the p53 response
LncReg_60,H19,lncRNA,up,Hmga2,ENSG00000149948.12,protein coding,translational regulation,let-7,miRNA,H19 inhibited let-7 function and affected its target HMGA-2 which mediated EMT.,western blot,Homo sapiens,H19 inhibited let-7 function and affected its target HMGA-2 which mediated EMT.,24920070,H19 promotes pancreatic cancer metastasis by derepressing let-7's suppression on its target HMGA2-mediated EMT
LncReg_600,linc1470,lncRNA,down,Cdx2,ENSG00000165556.9,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_601,linc1604,lncRNA,down,Cdx2,ENSG00000165556.9,protein coding,transcriptional regulation,,,,microarray;qPCR,Mus musculus ,qPCR validation of lineage marker gene expression changes upon knockdown of lincRNAs.,21874018,lincRNAs act in the circuitry controlling pluripotency and differentiation
LncReg_602,lncRNA-HEIH,lncRNA,up,PCNA,ENSG00000132646.9,protein coding,,,,,western blot,Homo sapiens,"Consistent with decreased cell proliferation, Huh7 and HepG2 cells in which lncRNA-HEIH was attenuated had significantly lower levels of proliferating cell nuclear antigen (PCNA) expression, compared with control cells. In contrast, exogenous expression of lncRNA-HEIH promoted proliferation and PCNA expression in Hep3B  and SMMC-7721 cells.  ",21769904,Long noncoding RNA high expression in hepatocellular carcinoma facilitates tumor growth through enhancer of zeste homolog 2 in humans
LncReg_603,lncRNA-HEIH,lncRNA,down,p16,ENSG00000147889.15,protein coding,transcriptional regulation,EZH2,,"ChIP arrays demonstrated that lncRNA-HEIH increased the binding of EZH2 and H3K27me3 levels across the p16 promoters .Interestingly, we observed that lncRNA-HEIH increased the binding of EZH2 , but there was no increase in H3K27me3 levels  across the p21 promoters. This indicates that EZH2 may silence this gene expression in other ways.",qPCR;western blot;ChIP,Homo sapiens,"We investigated the cyclin-dependent protein kinase inhibitors by western blotting, and the results showed that the p16, p27, and p21 proteins were increased with the knockdown of lncRNA-HEIH  and decreased with the overexpression of lncRNA-HEIH .",21769904,Long noncoding RNA high expression in hepatocellular carcinoma facilitates tumor growth through enhancer of zeste homolog 2 in humans
LncReg_604,lncRNA-HEIH,lncRNA,down,p21,ENSG00000124762.12,protein coding,transcriptional regulation,EZH2,,"ChIP arrays demonstrated that lncRNA-HEIH increased the binding of EZH2 and H3K27me3 levels across the p16 promoters .Interestingly, we observed that lncRNA-HEIH increased the binding of EZH2 , but there was no increase in H3K27me3 levels  across the p21 promoters. This indicates that EZH2 may silence this gene expression in other ways.",qPCR;western blot;ChIP,Homo sapiens,"We investigated the cyclin-dependent protein kinase inhibitors by western blotting, and the results showed that the p16, p27, and p21 proteins were increased with the knockdown of lncRNA-HEIH  and decreased with the overexpression of lncRNA-HEIH .",21769904,Long noncoding RNA high expression in hepatocellular carcinoma facilitates tumor growth through enhancer of zeste homolog 2 in humans
LncReg_605,lncRNA-HEIH,lncRNA,down,p27,ENSG00000173465.6,protein coding,,,,,western blot,Homo sapiens,"We investigated the cyclin-dependent protein kinase inhibitors by western blotting, and the results showed that the p16, p27, and p21 proteins were increased with the knockdown of lncRNA-HEIH  and decreased with the overexpression of lncRNA-HEIH .",21769904,Long noncoding RNA high expression in hepatocellular carcinoma facilitates tumor growth through enhancer of zeste homolog 2 in humans
LncReg_606,lncRNA-HEIH,lncRNA,down,p15,ENSG00000147883.10,protein coding,transcriptional regulation,,,,qPCR;western blot,Homo sapiens,"Analysis with RT-PCR and western blot-ting confirmed that the expression of PRC2 target genes, such as the cell-cycle regulation genes, p15,p16,p21,and p57,were diminished when lncRNA-HEIH was overexpressed (Fig. 5C,D) and up-regulated when lncRNA-HEIH was knocked down",21769904,Long noncoding RNA high expression in hepatocellular carcinoma facilitates tumor growth through enhancer of zeste homolog 2 in humans
LncReg_607,lncRNA-HEIH,lncRNA,down,p57,ENSG00000102879.14,protein coding,transcriptional regulation,,,,qPCR;western blot,Homo sapiens,"Analysis with RT-PCR and western blot-ting confirmed that the expression of PRC2 target genes, such as the cell-cycle regulation genes, p15,p16,p21,and p57,were diminished when lncRNA-HEIH was overexpressed (Fig. 5C,D) and up-regulated when lncRNA-HEIH was knocked down",21769904,Long noncoding RNA high expression in hepatocellular carcinoma facilitates tumor growth through enhancer of zeste homolog 2 in humans
